ID_pemesanan;nama_pengguna;email;nama_hotel;kota;check_in;check_out;durasi_inap;jumlah_kamar;harga_per_malam;total_biaya;metode_pembayaran;wallet_address;status_transaksi;timestamp_pemesanan
e6bb369a-ace5-425c-9b64-acbda7f08571;Garan Putra;epermata@gmail.com;Hotel Santika Radial Palembang ;Palembang;06/12/2024;08/12/2024;2;2;589213;2356852;Transfer Bank;;Cancelled;29/10/2024 07:06
765eef8d-b922-41fb-a678-b7570a559dab;Clara Rajata;widya72@cv.co.id;MaxOneHotels at Vivo Palembang ;Palembang;28/07/2024;29/07/2024;1;2;749462;1498924;Transfer Bank;;Cancelled;19/07/2024 00:05
c24b4be9-3155-40e1-9a81-c6d76bc3accc;Umi Usada;psantoso@pt.mil;RedDoorz near Palembang Trade Center 3 ;Palembang;18/04/2025;22/04/2025;4;1;876676;3506704;Crypto;0x3801e940341d145437b94b42aabec908a0031227;Pending;18/01/2025 14:57
0a5c82a9-efa4-4364-8813-9e4f97eb62f9;Dr. Hani Setiawan, M.Pd;budiyantojasmin@hotmail.com;OYO 251 The Maximus Inn Hotel ;Palembang;28/10/2024;30/10/2024;2;3;630860;3785160;Transfer Bank;;Paid;31/07/2024 02:36
44a3f593-5e8d-4ea1-8cd9-4969147f1e1e;R.M. Gatra Yuliarti;elonnababan@yahoo.com;Algoritma Hotel ;Palembang;04/04/2025;07/04/2025;3;2;403989;2423934;Crypto;0xca70a517c63c8dc32a1f3ddd1b1faf5ab89fef72;Paid;09/10/2024 15:08
2b681d9f-3d58-4964-98fc-f88ea1d17746;Ir. Rina Samosir;nrimalaksita@pt.net;OYO 236 Penginapan Rumah Hijau ;Palembang;07/09/2024;09/09/2024;2;1;947997;1895994;Transfer Bank;;Pending;06/08/2024 12:06
6e3b679e-0502-47ab-b9ab-c108906ffe65;Tugiman Nasyiah, S.H.;ejailani@gmail.com;The Zuri Hotel Palembang ;Palembang;24/10/2024;29/10/2024;5;1;817524;4087620;Crypto;0x1879921398bb5c223c419d9c36ba8207ae10120f;Paid;20/07/2024 10:54
4b6ea91d-03a5-4d8d-b486-3f043e6cf1df;Vinsen Yuliarti;cemplunk91@cv.sch.id;The Arista Hotel ;Palembang;18/05/2025;23/05/2025;5;2;1330249;13302490;Crypto;0xa4fa768f860a0f110e0b8e11c7219582fcf26a87;Cancelled;13/09/2024 15:06
950a282b-9e43-4692-8b5c-be26376d67e6;Damu Hardiansyah, S.E.I;ibranimayasari@cv.biz.id;Wyndham Opi Hotel Palembang ;Palembang;27/09/2024;29/09/2024;2;3;874299;5245794;QRIS;;Pending;21/09/2024 02:42
1713cd2f-475b-4737-82e2-77751cf4c580;dr. Viman Prasasta, S.Sos;kamaria78@hotmail.com;Hotel Graha Bukit ;Palembang;09/03/2025;10/03/2025;1;2;1022450;2044900;Transfer Bank;;Paid;22/10/2024 00:01
f52cadb7-6dbd-432b-b53f-9b022db5cbfd;R. Maimunah Siregar;pradiptagadang@perum.id;OYO 247 Wisma Merdeka Syariah ;Palembang;29/08/2024;02/09/2024;4;1;852576;3410304;Transfer Bank;;Cancelled;15/07/2024 02:13
1960c324-cbe1-4e71-8789-a89585539dc2;Farhunnisa Suryatmi;agustinaaris@gmail.com;Sintesa Peninsula Hotel Palembang ;Palembang;23/01/2025;24/01/2025;1;3;850095;2550285;Crypto;0x5cf56aeb9f9f20d0071a2bc26520596eb1258e4f;Pending;15/08/2024 06:38
799b4343-8ddb-456d-a5bf-5ec3e0850277;Hj. Ayu Mandala;ynamaga@gmail.com;The Arista Hotel ;Palembang;01/12/2024;02/12/2024;1;3;719799;2159397;Transfer Bank;;Cancelled;11/08/2024 10:19
dfa0736a-6c4f-417b-ba2d-b9ae4c53119f;Ciaobella Manullang;siraitibrani@cv.go.id;Losmen Ibu Hj. Tarjo ;Palembang;11/03/2025;15/03/2025;4;2;796946;6375568;Crypto;0xed2aa8292aa3b39f6f0a313c2ec3ebe0fba68441;Cancelled;01/02/2025 01:28
44ff2e48-bd6e-4419-934f-52bffed0965c;Alambana Hutagalung, S.Ked;abyasa94@perum.desa.id;Wisma Jasmine Syariah ;Palembang;12/01/2025;14/01/2025;2;1;538430;1076860;Transfer Bank;;Cancelled;27/12/2024 08:03
c5a8bb82-1dd7-47b3-bac6-9757b7fe5feb;Cornelia Utama;prayogakurnia@yahoo.com;Amaris Hotel Palembang ;Palembang;24/09/2024;26/09/2024;2;2;1179691;4718764;Transfer Bank;;Paid;23/09/2024 08:47
b9568dcd-06a3-43c4-acac-8db1a6037fcc;Ilsa Yuniar, S.Gz;danujauyainah@yahoo.com;RedDoorz near Sultan Mahmud Badaruddin Airport Palembang ;Palembang;28/01/2025;30/01/2025;2;2;478023;1912092;QRIS;;Pending;13/10/2024 12:39
ed7a72f7-276e-4be6-865e-586961356365;drg. Pranawa Uwais, S.Gz;hari53@gmail.com;OYO 2036 Afifah Homestay Syariah ;Palembang;19/04/2025;23/04/2025;4;2;1375237;11001896;Transfer Bank;;Paid;15/07/2024 02:49
45bd2c3b-86eb-417a-905d-e3b2e572bc94;Labuh Wasita;okto25@yahoo.com;Super OYO 1868 Penginapan Sekip ;Palembang;28/06/2025;29/06/2025;1;3;896980;2690940;Crypto;0x61cf32add45affec1cf8b7c962de2e3a1f784394;Pending;10/07/2024 03:59
922a14f6-e4bc-4b00-a2bf-7f7634961fe7;Sabar Pranowo;handayaniargono@ud.mil.id;RedDoorz @ Jalan Jenderal Sudirman Palembang 2 ;Palembang;05/07/2025;06/07/2025;1;2;1141460;2282920;Transfer Bank;;Cancelled;28/11/2024 18:47
abce6e1d-e765-4d48-8369-3197c35911c0;R.M. Gatra Hariyah, M.Ak;zulkarnainsurya@ud.ponpes.id;Sintesa Peninsula Hotel Palembang ;Palembang;22/06/2025;27/06/2025;5;2;1211601;12116010;Crypto;0x6140468ecb5c414b166b6fb4cf78758e4e0d31f1;Paid;20/01/2025 00:58
f36c6c01-5364-4f45-ac46-3e19829146ec;Drs. Aditya Firgantoro, S.I.Kom;anasyiah@cv.org;Super OYO 1173 Hotel Shofa Marwah ;Palembang;17/04/2025;19/04/2025;2;3;1462660;8775960;QRIS;;Pending;04/09/2024 03:43
e6462209-a15e-42f3-a83f-c9ade02f5d1c;Banawi Gunarto;embuhmanullang@perum.or.id;OYO Life 1299 Balcony Orange Homestay ;Palembang;14/12/2024;15/12/2024;1;1;891250;891250;QRIS;;Pending;21/11/2024 20:42
f36a17a0-8e9e-4673-a631-1cc6365fbd73;Uli Marpaung, S.T.;hsusanti@pt.edu;OYO Life 2502 Syariah Triantama Kost ;Palembang;24/02/2025;28/02/2025;4;3;1471733;17660796;QRIS;;Paid;26/09/2024 14:29
f50aae2d-c49c-4ffe-95c1-f146e814e400;Tiara Mayasari;prastutitiara@hotmail.com;De' Premium Hotel Kartini ;Palembang;25/08/2024;29/08/2024;4;3;745072;8940864;Transfer Bank;;Cancelled;18/07/2024 13:22
699b93cf-ba32-4933-92a8-6f1cc95bf45e;Tgk. Dian Widodo, S.T.;vpradana@hotmail.com;Azza Hotel by Horison ;Palembang;08/02/2025;10/02/2025;2;2;424620;1698480;Crypto;0x6dc78e1bd7f4717d0c70764bdc2dd49c7b4ec213;Paid;29/12/2024 16:06
3405d598-4b45-41fa-9704-1c2dd0c49825;Leo Ramadan;mustofaindah@ud.org;RedDoorz @ Jalan Jenderal Sudirman Palembang 2 ;Palembang;13/09/2024;14/09/2024;1;3;304796;914388;Crypto;0x1d6f52c9a773c47ff0e4ba40a3c7b364ff1a5593;Paid;11/08/2024 15:32
3e21f12d-4cb3-4230-adc4-08e923037a1a;Elvina Mustofa, S.Farm;sudiatibahuwarna@hotmail.com;7 Dream Hotel ;Palembang;02/06/2025;03/06/2025;1;3;1120613;3361839;Crypto;0xd8ffe89f2f61238767b8325ba0ca7bbe4c3089c0;Paid;12/08/2024 06:36
782edaeb-c0ff-46ce-8999-3fba8fb2a971;Martana Wibowo;asmianto58@hotmail.com;Wisma Jasmine Syariah ;Palembang;24/11/2024;28/11/2024;4;3;1192077;14304924;QRIS;;Pending;06/10/2024 20:58
de7271b0-5b7c-476d-839a-98ee770fa8af;Ajeng Irawan;eko03@pd.org;Emilia Hotel by Amazing ;Palembang;28/04/2025;03/05/2025;5;2;610394;6103940;Crypto;0xf2ea7770b696fd5fdd4a37b1a573398f0cb384f1;Pending;13/03/2025 20:27
a8818a08-3f67-4456-95fa-b4cd6963fb16;drg. Tina Melani, S.Psi;rahimahjayeng@cv.net;The Alts Hotel ;Palembang;12/08/2024;16/08/2024;4;3;984106;11809272;Crypto;0x29febab8c5259709c186a9da2550060b779995a0;Cancelled;10/08/2024 04:36
9add82d3-e640-4f45-9da9-1d8742ce1456;Maya Farida;saptonozelda@yahoo.com;Sintesa Peninsula Hotel Palembang ;Palembang;19/05/2025;22/05/2025;3;2;1047984;6287904;Crypto;0xa16bcc213be6e461374cf93190a1fce930586454;Pending;16/03/2025 13:00
70cc7e4c-b3c6-4ea2-a3fb-b2fdf2604f93;Dr. Oliva Rahayu;purnawatisimon@hotmail.com;favehotel Palembang ;Palembang;04/12/2024;05/12/2024;1;3;908369;2725107;QRIS;;Paid;26/08/2024 11:44
22bd6a6e-2117-46b2-af66-f703857a3162;Lutfan Astuti;cahya06@yahoo.com;Wisma Jasmine Syariah ;Palembang;15/06/2025;20/06/2025;5;3;597768;8966520;Transfer Bank;;Cancelled;25/10/2024 08:02
4fceed11-16ae-4684-be97-56c202b6f401;Luthfi Maheswara;nababankeisha@pd.ac.id;OYO 1991 Alam Lestari Homestay ;Palembang;07/12/2024;10/12/2024;3;2;978726;5872356;Crypto;0x3f948139f37dd12adadca92a06e9dbcb43fcb77c;Paid;28/07/2024 10:59
7a962ec3-09c1-4dfd-88ab-098a0fe068b4;Dr. Arta Lazuardi;tampubolontari@perum.desa.id;Azza Hotel by Horison ;Palembang;29/08/2024;02/09/2024;4;2;715267;5722136;Transfer Bank;;Cancelled;23/08/2024 18:19
e6fdd3ed-ed8a-4045-8c14-e980df64df25;R. Nilam Hidayanto, M.Pd;prayogo01@hotmail.com;RedDoorz Syariah near RSUD Siti Fatimah Palembang ;Palembang;19/03/2025;22/03/2025;3;2;1383650;8301900;Transfer Bank;;Cancelled;24/01/2025 18:49
ad37b83d-09b0-4c8a-84a3-dbe7623e7734;Diah Mulyani;rafid02@cv.desa.id;OYO 3816 The Tispa Syariah Residence ;Palembang;11/01/2025;15/01/2025;4;2;327748;2621984;Crypto;0x4b4e142df78b348ad4d4307db88f7d4152f577b4;Cancelled;08/01/2025 13:29
e9b44496-53b3-47d6-a986-00765efae7b9;Liman Usada;maulanajefri@yahoo.com;Imara Hotel Palembang ;Palembang;19/01/2025;21/01/2025;2;2;383397;1533588;QRIS;;Cancelled;19/11/2024 12:20
ebf45652-b8ac-4a8d-bc1e-754660d2bb91;Hafshah Wibowo;gwibisono@pd.ac.id;OYO 2177 Trikora Indah Residence ;Palembang;21/10/2024;25/10/2024;4;2;1333854;10670832;QRIS;;Pending;01/09/2024 14:39
0071273f-b5e0-42fa-99f3-996be891e864;Cut Lalita Anggraini;omanmangunsong@cv.web.id;Emilia Hotel by Amazing ;Palembang;22/01/2025;24/01/2025;2;3;1049134;6294804;QRIS;;Cancelled;31/12/2024 18:19
ad746e1a-89c2-4994-86d5-66847ff3adb9;Almira Wibisono;jailanikarna@perum.gov;Dparagon Trikora ;Palembang;05/10/2024;10/10/2024;5;2;613721;6137210;QRIS;;Cancelled;23/07/2024 05:57
265416c5-6c2f-4c71-932a-4deabef06bc5;Luthfi Hidayanto;ewaluyo@hotmail.com;RedDoorz Plus near UIN Raden Fatah Palembang ;Palembang;24/01/2025;28/01/2025;4;3;925732;11108784;Transfer Bank;;Pending;24/09/2024 15:37
1ed8ca5a-260d-4843-b6f8-1a3c3b9665cd;Sari Marbun;oni80@gmail.com;RedDoorz near Siloam Hospital Palembang ;Palembang;02/09/2024;05/09/2024;3;1;495520;1486560;Transfer Bank;;Cancelled;22/08/2024 15:36
0c3ebbc4-3fee-4264-a241-f5f138bc85f1;Kalim Wijaya;saadatmaryadi@pt.mil.id;RedDoorz near Palembang Trade Center ;Palembang;07/05/2025;12/05/2025;5;1;883678;4418390;Crypto;0x384aac0c0c411f4f7e969e6e120e4d6653d4cd92;Cancelled;05/12/2024 21:08
a53b46a1-7996-4c7c-8aed-6b8bb9dd2752;Satya Rahimah;jayadi56@yahoo.com;Airish Hotel Palembang ;Palembang;16/10/2024;20/10/2024;4;3;1098968;13187616;Transfer Bank;;Paid;05/09/2024 19:22
0a05d78e-cd29-4286-afe8-2270081a8161;Maria Safitri;nprasetyo@perum.net.id;SPOT ON 2294 Mega Kost ;Palembang;07/07/2024;10/07/2024;3;3;751647;6764823;Crypto;0xeb8af6cc1eac60708b215fd918651799a2bfc0f2;Cancelled;07/07/2024 09:00
5ba061e9-d6f6-43e5-b1e5-8dbdf37b84f9;Manah Sirait;vera12@yahoo.com;OYO 3816 The Tispa Syariah Residence ;Palembang;13/06/2025;18/06/2025;5;3;773185;11597775;Transfer Bank;;Paid;07/09/2024 17:26
f62e96e4-1bcb-461c-91b8-962b40ce55c7;Dagel Wijaya, M.TI.;lembahmansur@hotmail.com;Azza Hotel by Horison ;Palembang;05/07/2025;07/07/2025;2;2;971714;3886856;Crypto;0x465eb935ca9aa9080b503d9c0296c7957d704337;Paid;18/03/2025 22:33
a5ad916b-da66-4cc8-ba91-491e9b7050b2;dr. Hani Nainggolan, S.IP;cahyasuryono@hotmail.com;RedDoorz Syariah near RSUD Siti Fatimah Palembang ;Palembang;12/06/2025;16/06/2025;4;2;979278;7834224;QRIS;;Pending;27/11/2024 10:53
e7b5b6bc-9236-4b4c-ace0-b971f50d3829;Cemani Marpaung;fathonah95@ud.org;RedDoorz Plus near Palembang Icon Mall 2 ;Palembang;24/08/2024;26/08/2024;2;2;922189;3688756;Crypto;0xfc0b971c7de4934f57002e959f258737cf330a96;Paid;21/08/2024 07:34
beba02d4-dd07-4ff2-ae19-f851b8803e43;Cornelia Kurniawan;garahastuti@pd.co.id;The Zuri Hotel Palembang ;Palembang;18/07/2024;23/07/2024;5;1;566776;2833880;QRIS;;Cancelled;10/07/2024 08:22
83262c3e-3270-495f-bb9f-05271d11ecd7;Salsabila Astuti;jessica45@hotmail.com;RedDoorz near Sultan Mahmud Badaruddin Airport Palembang ;Palembang;17/05/2025;22/05/2025;5;1;696266;3481330;Crypto;0x0d08db5f6c5467cfbfe1696c077b0321bc77f371;Cancelled;28/10/2024 12:10
ace41dd4-79a9-4752-9d57-41b68c09dffb;Hj. Yulia Kurniawan;hakimshania@perum.ponpes.id;RedDoorz near Palembang Trade Center 3 ;Palembang;01/10/2024;05/10/2024;4;3;560313;6723756;QRIS;;Pending;21/08/2024 09:05
2fe4277c-20a8-425c-82af-317b00db6595;Dr. Prasetyo Nurdiyanti, S.Pd;sihotanglanjar@cv.web.id;OYO 2869 Ionia Homestay ;Palembang;27/02/2025;03/03/2025;4;3;1355493;16265916;Transfer Bank;;Paid;07/02/2025 13:17
8b841320-e8e9-42ae-92bb-48140ece69c5;Cut Cinthia Pradipta, S.T.;okurniawan@pt.mil;Hotel Anugerah Palembang ;Palembang;22/10/2024;26/10/2024;4;2;827972;6623776;Transfer Bank;;Cancelled;08/09/2024 10:53
ac0e764e-d432-41bf-b091-2bac7e647bff;Tami Pradipta, S.Pd;mandasaricakrabuana@pt.mil;RedDoorz Plus near Palembang Square Mall ;Palembang;20/12/2024;25/12/2024;5;3;1087072;16306080;Crypto;0x94f898f669049b08199819bfb5148a0a33b8c469;Cancelled;22/08/2024 21:54
0435e3a8-fef9-4c00-bf03-da8a9797f284;Kusuma Usamah;hasanahrahmi@hotmail.com;Algoritma Hotel ;Palembang;07/03/2025;11/03/2025;4;1;664134;2656536;Crypto;0x3925929714d63b1e8eb139ed2e950739b949fdeb;Cancelled;03/02/2025 07:32
b57f892d-c384-4fd9-8d15-3f48451e554d;R.M. Martaka Aryani, S.Psi;nyana64@hotmail.com;Opi Indah Hotel ;Palembang;27/04/2025;02/05/2025;5;1;1253489;6267445;QRIS;;Cancelled;17/01/2025 11:20
0405ee58-bb22-40de-8318-45566071ec99;Ir. Gamanto Situmorang, S.Sos;pangesturatna@perum.com;Dparagon Dwikora ;Palembang;26/12/2024;28/12/2024;2;2;677877;2711508;Transfer Bank;;Cancelled;26/07/2024 21:26
a5900fbb-ae12-4af5-94b3-c24f7b8afe28;Ina Dabukke;maman25@gmail.com;OYO 335 Wisma Empat Lima Syariah ;Palembang;24/02/2025;28/02/2025;4;1;1348773;5395092;Crypto;0xc020a8e7754c0f7956492eb31aa2e7f4e3a5b335;Cancelled;25/10/2024 10:04
6b96176f-e665-4f13-9591-9b006108f752;Sutan Galur Prakasa;harsanapangestu@pt.org;MaxOneHotels at Vivo Palembang ;Palembang;30/11/2024;02/12/2024;2;3;1259658;7557948;QRIS;;Paid;12/11/2024 17:06
34b03132-d789-4271-87c0-09e991123234;Calista Namaga;leohidayat@perum.net;Capital O 142 Hotel Al Furqon Syariah ;Palembang;01/10/2024;06/10/2024;5;3;1463336;21950040;QRIS;;Cancelled;18/07/2024 01:51
94d5ec6c-1374-4226-88e3-6b8ffbe06993;R. Halima Saputra;rprasetya@pd.edu;OYO 1586 Kerangga Homestay Syariah ;Palembang;30/03/2025;31/03/2025;1;2;1188566;2377132;QRIS;;Cancelled;02/01/2025 22:08
35159a5a-a7d1-471c-8f45-ecc8831b097e;Gamblang Maheswara;pprasasta@cv.ac.id;OYO 1586 Kerangga Homestay Syariah ;Palembang;27/03/2025;29/03/2025;2;1;667367;1334734;Crypto;0x0c5d8e88f5e6dde785737b3b1d6190ba020ec7f3;Paid;03/11/2024 07:13
59536a76-01b7-4bf3-aa0f-aed1b7acc290;Harsaya Suartini;aurora01@pt.net;RedDoorz Syariah near RSUD Siti Fatimah Palembang ;Palembang;12/01/2025;17/01/2025;5;3;678771;10181565;QRIS;;Pending;18/07/2024 07:54
6ba5fcaf-eb39-44a3-9e95-c72549f36138;Dt. Prabowo Andriani, M.Kom.;dfirmansyah@ud.net;Emilia Hotel by Amazing ;Palembang;22/09/2024;26/09/2024;4;3;761098;9133176;Crypto;0x67b3fcf0f28ab7070ac28d13f5f567d6c5ff05a5;Cancelled;24/07/2024 07:51
5121e392-f4aa-4ea2-9e3c-76e939bd95d6;Puput Saptono;purwahardiansyah@yahoo.com;Katawa Guest House Syariah ;Palembang;21/02/2025;23/02/2025;2;1;1367919;2735838;Crypto;0x0ceb57181b4fc3cdb4102d73997e3822cafa7add;Cancelled;26/10/2024 02:52
a70c4a4f-6778-4937-b503-d67b8b283932;Nadia Prasetya;estiono41@pt.sch.id;Rio City Hotel ;Palembang;05/04/2025;06/04/2025;1;2;1305137;2610274;QRIS;;Pending;24/10/2024 09:11
8b289b2d-ffd1-42c6-a5e9-d565b1980618;Luluh Waskita;safinamardhiyah@gmail.com;OYO Life 570 Pesona Asri Homestay Syariah ;Palembang;04/06/2025;08/06/2025;4;3;1218166;14617992;Transfer Bank;;Pending;09/10/2024 12:13
531bc014-c066-4431-ad5e-9f36aab1669f;Dagel Kusumo;lailasaririna@perum.edu;Airish Hotel Palembang ;Palembang;06/07/2024;11/07/2024;5;1;1066103;5330515;QRIS;;Cancelled;07/07/2024 09:00
586a1e80-f567-4535-8ea2-cd8f1d097e75;Irma Andriani;usamahmarsito@cv.mil.id;RedDoorz near Palembang Square Mall 2 ;Palembang;21/05/2025;23/05/2025;2;2;484389;1937556;Transfer Bank;;Cancelled;15/08/2024 10:24
569076a2-f09f-4999-9b91-f8f67ef6c8e1;Amalia Nashiruddin;harsanto64@yahoo.com;OYO Life 2502 Syariah Triantama Kost ;Palembang;06/09/2024;08/09/2024;2;3;858364;5150184;Crypto;0x3912a71c356fd1d4dad4ca0143921b736d7d63d2;Cancelled;05/09/2024 03:21
836bdbf2-1d64-4a6b-b486-f51187323241;H. Baktianto Rajata;hasanahdwi@cv.com;OYO 3816 The Tispa Syariah Residence ;Palembang;20/01/2025;22/01/2025;2;2;681719;2726876;Crypto;0xb4e718b4fa0d7a9480ebdd9da501a61cab719484;Pending;27/11/2024 17:07
d4deef4e-7fa5-4f1a-b2e3-ac25412ee4a3;Agnes Nasyidah;lalita36@hotmail.com;RedDoorz @ Jalan Jenderal Sudirman Palembang 2 ;Palembang;08/01/2025;13/01/2025;5;3;639149;9587235;Crypto;0x0131392a924c8bd0b30eec57a9ae4278d684e38a;Paid;24/07/2024 07:32
82551a89-f005-4239-b0bb-d2e08ad695f2;drg. Gara Haryanti;irfananggraini@perum.go.id;OYO 448 Hotel Central ;Palembang;04/12/2024;05/12/2024;1;1;633246;633246;QRIS;;Paid;14/07/2024 12:53
52f9a740-af06-42d6-8308-126fa8c5a538;Dt. Limar Mandala;omandala@hotmail.com;Hotel Graha Bukit ;Palembang;04/03/2025;05/03/2025;1;2;644161;1288322;QRIS;;Paid;06/09/2024 15:53
786d78d3-1fc5-4ae5-b7c3-c447cab60ac5;Dr. Tantri Santoso;spadmasari@hotmail.com;RedDoorz near Siloam Hospital Palembang ;Palembang;29/04/2025;03/05/2025;4;3;341495;4097940;Crypto;0xd96854eadba0e0310148a253270ee100782d7d9e;Paid;25/04/2025 03:21
caee02a5-c238-4697-a4b0-8c4dd2881eea;Hadi Prabowo;opranowo@yahoo.com;The Alts Hotel ;Palembang;16/04/2025;21/04/2025;5;3;1212209;18183135;Crypto;0xf6771a4817bc5da156ef302e0cf44b8a016f26aa;Cancelled;06/11/2024 03:42
0d972b7a-a574-4381-9bb8-76307bc1b127;R.M. Jaeman Widiastuti;halimahrendy@gmail.com;OYO 335 Wisma Empat Lima Syariah ;Palembang;05/03/2025;09/03/2025;4;3;473456;5681472;QRIS;;Paid;31/10/2024 13:15
eeaa3917-545e-48c2-9520-1ea14ca5f394;Bagus Lailasari, S.H.;anggabaya45@gmail.com;OYO Life 2820 Hotel Perdana Syariah ;Palembang;25/02/2025;27/02/2025;2;1;351979;703958;QRIS;;Pending;04/01/2025 11:43
2bcdd335-e6f2-443e-848b-7f2d4fc7374f;Estiono Zulkarnain;cagerpermadi@hotmail.com;Harper Palembang by ASTON ;Palembang;24/10/2024;25/10/2024;1;3;570928;1712784;QRIS;;Pending;30/09/2024 04:25
4e204ab2-84cf-4e6b-91f5-e1432832583a;Intan Nababan;virman82@gmail.com;Algoritma Hotel ;Palembang;24/05/2025;29/05/2025;5;2;1049125;10491250;Transfer Bank;;Paid;24/07/2024 23:20
cf5c14f4-1280-4ba1-8254-ec682504bedd;R. Cakrabirawa Puspita;kayun19@pt.gov;Losmen Ibu Hj. Tarjo ;Palembang;23/08/2024;24/08/2024;1;3;1001733;3005199;QRIS;;Paid;04/08/2024 12:45
d3d46a59-f79c-4754-a159-c5bc35a6d5e6;Parman Puspita, S.Pt;larassalahudin@ud.id;Algoritma Hotel ;Palembang;29/08/2024;30/08/2024;1;1;624853;624853;Crypto;0x6d240579f6de15421df60d43d19275a0d1b996b5;Paid;11/07/2024 16:00
8e16a979-339a-43c2-b734-c49eca79f228;Vero Natsir;permadivera@gmail.com;RedDoorz Syariah near RSUD Siti Fatimah Palembang ;Palembang;10/01/2025;12/01/2025;2;1;486255;972510;QRIS;;Paid;25/07/2024 03:03
dbf49da1-ca84-4bf9-8cb3-51fda6a3e1e2;Raditya Usamah;titianggriawan@gmail.com;Grand Daira Hotel Palembang ;Palembang;19/07/2024;23/07/2024;4;1;1296817;5187268;Crypto;0x0ecd3493e22e680bef1e71ab5f55cf78fef0e90c;Cancelled;09/07/2024 01:49
9174fe77-9acd-4a7d-9f8c-b6d6086c3528;Muni Yulianti;jono67@pd.biz.id;OYO 2036 Afifah Homestay Syariah ;Palembang;15/10/2024;16/10/2024;1;3;1364088;4092264;Crypto;0xd2119327377a4197033fadec18e088ad7fcc2a48;Pending;28/09/2024 11:50
1e0f1bdc-e731-4283-bd5a-9a617851d893;Olivia Budiman;ppradipta@pt.net.id;BATIQA Hotel Palembang ;Palembang;11/12/2024;12/12/2024;1;3;1415765;4247295;Crypto;0xc44663fde7a2ad8eb5e8361156c031a0ef8a15d1;Cancelled;16/09/2024 22:13
d5bdc391-af0e-4d05-b85c-0c57dee3e7f0;Pia Kusumo;widiastuticahyadi@pd.edu;The 1O1 Palembang Rajawali ;Palembang;25/07/2024;28/07/2024;3;2;727197;4363182;Transfer Bank;;Cancelled;22/07/2024 13:35
